Model,Feature Set,Prior CES-D,N Features,ROC-AUC,F1,Recall,Precision
Logistic Regression,Full (with CES-D),Yes,139,0.8348915691521226,0.5590643274853802,0.6967930029154519,0.466796875
Logistic Regression,No prior CES-D,No,134,0.7687906865290146,0.4732510288065844,0.6705539358600583,0.3656597774244833
Random Forest,Full (with CES-D),Yes,139,0.8419884979432085,0.582716049382716,0.6880466472303207,0.5053533190578159
Random Forest,No prior CES-D,No,134,0.776682375494229,0.4981226533166458,0.5801749271137027,0.43640350877192985
